,SMILES,Parent_SMILES
1054,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C
1055,C=CC1C(OC2OC(COC(C)=O)C(OC(=O)c3cccc(OC4OC(CO)C(O)C(O)C4O)c3O)C(OC(C)=O)C2OC(=O)c2ccccc2)OC=C2C(=O)OCCC21,C=CC1C(OC2OC(COC(C)=O)C(OC(=O)c3cccc(OC4OC(CO)C(O)C(O)C4O)c3O)C(OC(C)=O)C2OC(=O)c2ccccc2)OC=C2C(=O)OCCC21
1056,CCCOc1ccc(C#N)cc1N,CCCOc1ccc(C#N)cc1N
1057,CC[C@@H](C)[C@@H](N)C(=O)O,CC[C@@H](C)[C@@H](N)C(=O)O
1058,O=C1[N-]S(=O)(=O)c2ccccc12.O=C1[N-]S(=O)(=O)c2ccccc12.[Ca+2],O=C1[N-]S(=O)(=O)c2ccccc21.O=C1[N-]S(=O)(=O)c2ccccc21.[Ca+2]
1059,OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
1060,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O.N[C@@H](Cc1ccccc1)C(=O)O,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O.N[C@@H](Cc1ccccc1)C(=O)O
1061,OCC1OC(O[C@]2(CCl)OC(CCl)C(Cl)C2O)C(O)C(O)C1O,OCC1OC(O[C@]2(CCl)OC(CCl)C(Cl)C2O)C(O)C(O)C1O
1062,O=C(O)c1ccc([N+](=O)[O-])c([N+](=O)[O-])c1,O=C(O)c1ccc([N+](=O)[O-])c([N+](=O)[O-])c1
1063,CN1CCC[C@H]1c1cccnc1,CN1CCC[C@H]1c1cccnc1
1064,OC[C@H]1OC(O[C@@H]2[C@@H](CO)O[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,OC[C@H]1OC(O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
1065,OCC1(O)OC[C@@H](O)[C@H](O)[C@@H]1O,OCC1(O)OC[C@@H](O)[C@H](O)[C@@H]1O
1066,CC1OC(O)C(O)C(O)C1O,CC1OC(O)C(O)C(O)C1O
1067,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
1068,OC[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@H]1O,OC[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@H]1O
1069,CN(C)c1ccc(NS(=O)(=O)O)cc1,CN(C)c1ccc(NS(=O)(=O)O)cc1
1070,COc1ccc2c(=O)cc(-c3ccc(O)cc3)oc2c1,COc1ccc2c(=O)cc(-c3ccc(O)cc3)oc2c1
1071,OC[C@H]1O[C@H](O[C@@]2(CO)O[C@H](CO)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,OC[C@H]1O[C@H](O[C@@]2(CO)O[C@H](CO)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O
1072,OC[C@@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,OC[C@@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO
1073,N#Cc1ccc(NC(=O)NC(CC(=O)O)c2ccc3OCOc3c2)cc1,N#Cc1ccc(NC(=O)NC(CC(=O)O)c2ccc3c(c2)OCO3)cc1
1074,COc1ccc(C2Cc3cccc(O)c3CO2)cc1O,COc1ccc(C2Cc3cccc(O)c3CO2)cc1O
1075,CC1OC(OC2CCC3(C=O)C4CCC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,CC1OC(OC2CCC3(C=O)C4CCC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O
